,precision,recall,f1-score,support
Afghan_hound,0.92,0.9583333333333334,0.9387755102040817,24.0
African_hunting_dog,0.85,1.0,0.918918918918919,17.0
Airedale,0.875,0.7,0.7777777777777778,20.0
American_Staffordshire_terrier,0.5555555555555556,0.5882352941176471,0.5714285714285714,17.0
Appenzeller,0.875,0.4666666666666667,0.6086956521739131,15.0
Australian_terrier,0.6842105263157895,0.65,0.6666666666666666,20.0
Bedlington_terrier,1.0,0.9444444444444444,0.9714285714285714,18.0
Bernese_mountain_dog,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0
Blenheim_spaniel,0.8571428571428571,0.9473684210526315,0.9,19.0
Border_collie,0.65,0.8666666666666667,0.7428571428571429,15.0
Border_terrier,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
Boston_bull,0.7727272727272727,0.9444444444444444,0.85,18.0
Bouvier_des_Flandres,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
Brabancon_griffon,1.0,0.75,0.8571428571428571,16.0
Brittany_spaniel,0.8125,0.8666666666666667,0.8387096774193549,15.0
Cardigan,0.7647058823529411,0.8666666666666667,0.8125,15.0
Chesapeake_Bay_retriever,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0
Chihuahua,0.6,0.6,0.6,15.0
Dandie_Dinmont,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0
Doberman,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
English_foxhound,0.631578947368421,0.75,0.6857142857142857,16.0
English_setter,0.7777777777777778,0.875,0.8235294117647058,16.0
English_springer,0.8421052631578947,1.0,0.9142857142857143,16.0
EntleBucher,0.9047619047619048,0.95,0.926829268292683,20.0
Eskimo_dog,0.5555555555555556,0.3333333333333333,0.4166666666666667,15.0
French_bulldog,0.9230769230769231,0.75,0.8275862068965517,16.0
German_shepherd,0.8125,0.8666666666666667,0.8387096774193549,15.0
German_short-haired_pointer,0.8888888888888888,0.5333333333333333,0.6666666666666666,15.0
Gordon_setter,0.8125,0.8666666666666667,0.8387096774193549,15.0
Great_Dane,0.9090909090909091,0.625,0.7407407407407407,16.0
